feature,hard_median,rejected_median,hard_mean,rejected_mean,standardized_mean_difference,absolute_standardized_mean_difference
outer_entry_z_scaled,1.0439749956130981,1.0439749956130981,1.04086338901743,1.040723137151891,0.03851091367672839,0.03851091367672839
sili_profile_energy_sum,22.846040725708008,22.130168914794922,28.909528027437933,28.009650134931473,0.037608000353498955,0.037608000353498955
sili_energy_layer_07,0.0,0.0,1.642478565391722,1.4921968149500158,0.031134958627609545,0.031134958627609545
sili_energy_layer_06,0.2511937618255615,0.0,1.989783124416578,1.8305545235736067,0.029113111259710195,0.029113111259710195
outer_entry_y_scaled,-0.007929745130240917,0.0004053956363350153,-0.008633741831105081,0.0006035595353043644,-0.027779690152267618,0.027779690152267618
sili_energy_layer_04,0.9955571889877319,0.18114608526229858,2.851835120294811,2.6888955864621846,0.025195031558879477,0.025195031558879477
sili_energy_layer_05,0.8599452376365662,0.0,2.371493148898505,2.2410985552702485,0.022679145704714538,0.022679145704714538
tof_entry_path_mm,940.2322998046875,945.5548706054688,952.8946339276326,953.8278857127639,-0.02003368694892068,0.02003368694892068
sili_energy_layer_02,1.517750859260559,1.3121907711029053,3.890297343138583,4.022394127083146,-0.016182089086250486,0.016182089086250486
sili_energy_layer_01,1.978110432624817,1.879947543144226,4.955834287491498,4.828318617470257,0.012985368852038373,0.012985368852038373
inner_entry_y_scaled,-0.022790467366576195,-0.0003084471682086587,-0.004506069496433393,0.00021265613298805815,-0.012059099222196135,0.012059099222196135
sili_energy_layer_10,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_11,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_12,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_13,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_14,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_15,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_01,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_06,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_07,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_08,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_09,0.0,0.0,0.0,0.0,0.0,0.0
