feature,hard_median,rejected_median,hard_mean,rejected_mean,standardized_mean_difference,absolute_standardized_mean_difference
tof_energy_layer_10,8.827098846435547,9.139589309692383,11.153800373819573,11.534958796169132,-0.04303831319714941,0.04303831319714941
tof_energy_layer_02,1.0979608297348022,1.2997965812683105,2.302137929620303,2.510619227609321,-0.04084347190622139,0.04084347190622139
tof_dt_scaled,0.15159857273101807,0.15161819756031036,0.15948125241774436,0.1605437310197815,-0.033322253504250436,0.033322253504250436
tof_dt_ns,7.579928398132324,7.580909729003906,7.974062625534566,8.027186555287654,-0.033322253280865764,0.033322253280865764
tof_energy_layer_15,1.538132905960083,1.8837369680404663,4.547875794278769,4.872457343544795,-0.0313577759391423,0.0313577759391423
tof_energy_layer_14,0.9894064664840698,1.4881315231323242,4.105252163396138,4.348744691077635,-0.024341203184824394,0.024341203184824394
outer_entry_y_scaled,-0.007929745130240917,-0.012018143199384212,-0.008633741831105081,-0.006687883498445355,-0.005796347254394076,0.005796347254394076
inner_entry_y_scaled,-0.022790467366576195,-0.006454534363001585,-0.004506069496433393,-0.003043600284500454,-0.003809165265749911,0.003809165265749911
sili_energy_layer_10,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_11,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_12,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_13,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_14,0.0,0.0,0.0,0.0,0.0,0.0
sili_energy_layer_15,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_01,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_06,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_07,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_08,0.0,0.0,0.0,0.0,0.0,0.0
tof_energy_layer_09,0.0,0.0,0.0,0.0,0.0,0.0
